award,doi,asset_id
AYA2015-71825,https://doi.org/10.1093/mnras/staa1812,9924552851401921
FP7/2007-2013,https://doi.org/10.1093/mnras/staa1157,9924552851801921
FP7/2007-2013,https://doi.org/10.1093/mnras/stz2483,9924552843601921
FP7/2007-2013,https://doi.org/10.1093/mnras/stz1539,9924552844201921
FP7/2007-2013,https://doi.org/10.1093/mnras/staa526,9924588847301921
FP7/2007-2013,https://doi.org/10.1093/mnras/staa1812,9924552851401921
FP7/2007-2013,https://doi.org/10.1093/mnras/stz2805,9924552843301921
FPA2015-68048,https://doi.org/10.1093/mnras/sty1970,9924552836401921
AYA2015-71825,https://doi.org/10.1093/mnras/sty1970,9924552836401921
FP7/2007-2013,https://doi.org/10.1093/mnras/sty1970,9924552836401921
AYA2015-71825,https://doi.org/10.1093/mnras/stz1514,9924552844401921
FPA2015-68048,https://doi.org/10.1093/mnras/stz1514,9924552844401921
FPA2015-68048,https://doi.org/10.1093/mnras/sty2522,9924552836101921
AYA2015-71825,https://doi.org/10.1093/mnras/sty2522,9924552836101921
XSEDE TG-MCB090163,https://doi.org/10.1039/d0sm01316a,9924086497001921
DMR-MRSEC 2011486,https://doi.org/10.1039/d0sm01316a,9924086497001921
FP7/2007-2013,https://doi.org/10.1093/mnras/stz1514,9924552844401921
FP7/2007-2013,https://doi.org/10.1093/mnras/sty2522,9924552836101921
11633006,https://doi.org/10.1051/0004-6361/201936622,9924117859801921
11933007,https://doi.org/10.1051/0004-6361/201936622,9924117859801921
HST-HF2-51431.001-A,https://doi.org/10.1051/0004-6361/201936622,9924117859801921
11573051,https://doi.org/10.1051/0004-6361/201936622,9924117859801921
TG-AST080026N,https://doi.org/10.1051/0004-6361/201936622,9924117859801921
11650110427,https://doi.org/10.1051/0004-6361/201936622,9924117859801921
AFB-170002,https://doi.org/10.1051/0004-6361/201936622,9924117859801921
89233218CNA000001,https://doi.org/10.1051/0004-6361/201936622,9924117859801921
11725312,https://doi.org/10.1051/0004-6361/201936622,9924117859801921
OPP-1248097,https://doi.org/10.1051/0004-6361/201936622,9924117859801921
11633006,https://doi.org/10.1051/0004-6361/201936622,9924117859801921
11933007,https://doi.org/10.1051/0004-6361/201936622,9924117859801921
11573051,https://doi.org/10.1051/0004-6361/201936622,9924117859801921
TG-AST080026N,https://doi.org/10.1051/0004-6361/201936622,9924117859801921
11650110427,https://doi.org/10.1051/0004-6361/201936622,9924117859801921
AFB-170002,https://doi.org/10.1051/0004-6361/201936622,9924117859801921
89233218CNA000001,https://doi.org/10.1051/0004-6361/201936622,9924117859801921
OPP-1248097,https://doi.org/10.1051/0004-6361/201936622,9924117859801921
11725312,https://doi.org/10.1051/0004-6361/201936622,9924117859801921
FPA2015-68048,https://doi.org/10.1093/mnras/staa645,9924552850301921
AYA2015-71825,https://doi.org/10.1093/mnras/staa645,9924552850301921
FP7/2007-2013,https://doi.org/10.1093/mnras/staa645,9924552850301921
12192223,https://doi.org/10.3847/2041-8213/ac65eb,9924150854501921
11933007,https://doi.org/10.3847/2041-8213/ac65eb,9924150854501921
OPP-1852617,https://doi.org/10.3847/2041-8213/ac65eb,9924150854501921
11991053,https://doi.org/10.3847/2041-8213/ac65eb,9924150854501921
HST-HF2-51431.001-A,https://doi.org/10.3847/2041-8213/ac65eb,9924150854501921
11991052,https://doi.org/10.3847/2041-8213/ac65eb,9924150854501921
TG-AST080026N,https://doi.org/10.3847/2041-8213/ac65eb,9924150854501921
11650110427,https://doi.org/10.3847/2041-8213/ac65eb,9924150854501921
