asset_id,doi,award_id,is_exist
9924282461501921,10.1112/mtk.12221,2155111,True
9924550652301921,10.1112/plms.12470,1900560,True
9924086595801921,10.1112/topo.12049,1440140,True
9924086650101921,10.1122/1.5132317,1125915,True
9924175115201921,10.1122/8.0000495,1126113,True
9924291214401921,10.1122/8.0000697,2026842,True
9923972919801921,10.1126/sciadv.aaz9125,1856484,True
9924086402801921,10.1126/science.aap9437,1255832,True
9924086303801921,10.1126/science.aau8287,1350949,True
9923977489101921,10.1126/science.aay9847,1557781,True
9923977388001921,10.1128/mbio.00349-20,1817518,True
9923977384601921,10.1128/mbio.01007-20,1541959,True
9923977384101921,10.1128/msphere.00976-20,1817518,True
9924147742701921,10.1137/21m1434180,1913093,True
9924301132601921,10.1137/22m1509308,1913093,True
9924301132601921,10.1137/22m1509308,2213583,True
9924149268501921,10.1142/s1793042123500628,1900560,True
9924148967801921,10.1142/s1793525322500066,1803368,True
9924148967801921,10.1142/s1793525322500066,2106906,True
9924454563801921,10.1142/s1793525323500516,2106906,True
9924140712501921,10.1145/3459637.3482465,1814825,True
9924140712501921,10.1145/3459637.3482465,1940855,True
9924140712501921,10.1145/3459637.3482465,1940859,True
9924140712501921,10.1145/3459637.3482465,1951504,True
9924140712501921,10.1145/3459637.3482465,2027127,True
9924140712501921,10.1145/3459637.3482465,2040144,True
9924140712501921,10.1145/3459637.3482465,2107172,True
9924140712501921,10.1145/3459637.3482465,2140785,True
9924550651901921,10.1145/3511808.3557382,2209814,True
9924150979901921,10.1145/3534678.3539265,2006844,True
9924550651801921,10.1145/3534678.3539279,1814825,True
9924550651801921,10.1145/3534678.3539279,2027127,True
9924550651801921,10.1145/3534678.3539279,2203261,True
9924550651801921,10.1145/3534678.3539279,2203262,True
9924550651801921,10.1145/3534678.3539279,2209814,True
9924550651801921,10.1145/3534678.3539279,2214376,True
9924550651801921,10.1145/3534678.3539279,2217239,True
9924550651801921,10.1145/3534678.3539279,2218762,True
9924550651701921,10.1145/3534678.3539324,1814825,True
9924550651701921,10.1145/3534678.3539324,2027127,True
9924550651701921,10.1145/3534678.3539324,2203261,True
9924550651701921,10.1145/3534678.3539324,2203262,True
9924550651701921,10.1145/3534678.3539324,2209814,True
9924550651701921,10.1145/3534678.3539324,2214376,True
9924550651701921,10.1145/3534678.3539324,2217239,True
9924550651701921,10.1145/3534678.3539324,2218762,True
9924179504401921,10.1145/3539597.3570455,2122631,True
9924179504401921,10.1145/3539597.3570455,2146076,True
9924179504401921,10.1145/3539597.3570455,2203261,True
9924179504401921,10.1145/3539597.3570455,2203262,True
9924179504401921,10.1145/3539597.3570455,2209814,True
9924179504401921,10.1145/3539597.3570455,2214376,True
9924179504401921,10.1145/3539597.3570455,2217239,True
9924179504401921,10.1145/3539597.3570455,2218762,True
9924550655501921,10.1145/3543507.3583207,2146076,True
9924550655401921,10.1145/3569951.3593610,1548562,True
9924550655401921,10.1145/3569951.3593610,1620695,True
9924550655401921,10.1145/3569951.3593610,2100003,True
9924550655301921,10.1145/3583780.3614765,2146076,True
9924550655301921,10.1145/3583780.3614765,2203261,True
9924550655301921,10.1145/3583780.3614765,2203262,True
9924550655301921,10.1145/3583780.3614765,2209814,True
9924550655301921,10.1145/3583780.3614765,2214376,True
9924550655301921,10.1145/3583780.3614765,2217239,True
9924550655301921,10.1145/3583780.3614765,2218762,True
9924550655301921,10.1145/3583780.3614765,2321504,True
9924550655301921,10.1145/3583780.3614765,2334193,True
9924550655201921,10.1145/3583780.3614909,2146076,True
9924550655101921,10.1145/3604632,2019805,True
9924550655101921,10.1145/3604632,2024878,True
9924550655101921,10.1145/3604632,2145642,True
9924086606701921,10.1152/jn.00139.2019,1827601,True
9924086869501921,10.1152/jn.00606.2018,1353809,True
9924086609401921,10.1152/jn.00607.2018,1353809,True
9924086543701921,10.1152/jn.00611.2019,1827601,True
9924086510201921,10.1152/jn.00612.2019,1827601,True
9924259784601921,10.1175/jpo-d-22-0203.1,1851520,True
9924327581901921,10.1175/jpo-d-23-0015.1,2049145,True
9924453361901921,10.1177/01925121241293459,1423944,True
9924550660301921,10.1177/07487304241273182,1764421,True
9924167585301921,10.1186/s13064-018-0113-x,1120938,True
9924288387501921,10.1209/0295-5075/acfab9,2202353,True
9924133125901921,10.1371/journal.pbio.3001677,2011846,True
9924552834001921,10.1371/journal.pcbi.1006351,1420382,True
9924550654801921,10.1371/journal.pcbi.1010652,2011846,True
9924276584301921,10.1371/journal.pcbi.1011241,1913093,True
9923973875101921,10.1371/journal.pgen.1007213,1256488,True
9923970781701921,10.1371/journal.pgen.1008689,1744555,True
9924160185101921,10.1371/journal.pgen.1010056,1744555,True
9924183278801921,10.1523/jneurosci.1412-22.2022,180002,True
9924550654601921,10.21468/scipostphys.15.3.084,1840340,True
9924550654601921,10.21468/scipostphys.15.3.084,2037158,True
9924550654601921,10.21468/scipostphys.15.3.084,2120757,True
9924540618901921,10.26434/chemrxiv-2022-6fkph,2011846,True
9924552834301921,10.3389/fphy.2018.00075,1344203,True
9924552834301921,10.3389/fphy.2018.00075,1420382,True
9924162186201921,10.3389/fphy.2022.1048683,1809762,True
9924162186201921,10.3389/fphy.2022.1048683,1916877,True
9924162186201921,10.3389/fphy.2022.1048683,2016188,True
9924162186201921,10.3389/fphy.2022.1048683,2026834,True
9924144218701921,10.3389/fphys.2022.806357,1920147,True
9924193673201921,10.3390/informatics10010008,1920147,True
9924193673201921,10.3390/informatics10010008,1933525,True
9923957933701921,10.3390/rel10090510,1528653,True
9924036042901921,10.3390/rs13204109,1917671,True
9924131502201921,10.3390/rs13234731,1917671,True
9924550659401921,10.3390/rs16234459,1849921,True
9924550659401921,10.3390/rs16234459,1917671,True
9924151769401921,10.3390/suschem2040036,155428,True
9924339971401921,10.3758/s13421-023-01459-7,1554871,True
9923989192801921,10.7554/elife.33953,1144152,True
9924552834101921,10.7554/elife.34695,1420382,True
9923906479201921,10.7554/elife.38846,10604,True
9923970144701921,10.7554/elife.40576,0446220,True
9923980287701921,10.7554/elife.41313,1420382,True
9924086535401921,10.7554/elife.42599,1806818,True
9924085952101921,10.7554/elife.45968,180002,True
9924086685701921,10.7554/elife.48694,1420382,True
9924144209301921,10.7554/elife.65766,180002,True
9924050518801921,10.7554/elife.68424,2011486,True
9924028613901921,10.7554/elife.69597,2011846,True
9924150868401921,10.7554/elife.71365,1610737,True
9924147741801921,10.7554/elife.76075,1913093,True
9924169780701921,10.7554/elife.78941,1757443,True
