award,asset_id,doi,initial_funder_id,initial_funder_name,final_funder_name,final_funder_id,handler,change_handler
0705062,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
11573051,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
AST-1715061,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
AST-1716327,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
ACI-1548562,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
-1548562,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
1548562,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
0905844,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
AST-1207730,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
1207730,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
AST-1207704,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
1614868,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
0521233,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
